tag,region,model,horizon,mae_mean,mae_std
P,The Greens,LSTM,10,4.570347468889554,4.639541940605869
P,The Greens,LSTM,14,4.226586154069438,4.937081283786329
P,The Greens,LSTM,18,5.6189879482315535,4.944812470364349
P,The Greens,LSTM,22,4.719227695310643,5.298439307784883
P,The Greens,LSTM,26,6.459110007455912,5.541545037787802
P,The Greens,LSTM,30,5.631593048685403,5.695717534312864
P,The Greens,LSTM,34,5.275798468792282,5.492629832437811
PC,Business Bay,LSTM,2,6.0793106938586075,2.549233548674483
PC,Business Bay,LSTM,6,6.913789216817625,3.518895306927605
PC,Business Bay,LSTM,10,6.372981353069016,2.930097030715908
PC,Business Bay,LSTM,14,6.28549539739456,3.793218234181677
PC,Business Bay,LSTM,18,6.854014881835613,2.93167115935652
PC,Business Bay,LSTM,22,6.207376804190935,2.7670912034903727
PC,Business Bay,LSTM,26,6.3937188021332085,2.587738611884384
PC,Business Bay,LSTM,30,6.77217222001112,2.4891806271569217
PC,Business Bay,LSTM,34,6.199104627435974,2.4560635063364473
PC,DAMAC HILLS 2,LSTM,2,1.075766708461036,0.7909189865804456
PC,DAMAC HILLS 2,LSTM,6,1.4652194239070866,0.7505016160200016
PC,DAMAC HILLS 2,LSTM,10,1.5504493790394651,0.7666189962020705
PC,DAMAC HILLS 2,LSTM,14,1.3761789405358926,0.6895208586689618
PC,DAMAC HILLS 2,LSTM,18,1.479889501968366,0.6816307559816549
PC,DAMAC HILLS 2,LSTM,22,1.537364443111198,0.69740457839283
PC,DAMAC HILLS 2,LSTM,26,1.4040596200112896,0.7821933796182928
PC,DAMAC HILLS 2,LSTM,30,1.4907963160959161,0.6493810498992776
PC,DAMAC HILLS 2,LSTM,34,1.3954597299435703,0.5819565533477761
PC,DAMAC HILLS,LSTM,2,3.932407130917538,1.921718457905764
PC,DAMAC HILLS,LSTM,6,4.5265355350624015,1.741302492106506
PC,DAMAC HILLS,LSTM,10,4.475406638759987,1.8738431804393958
PC,DAMAC HILLS,LSTM,14,4.419728123896567,1.7307034033765045
PC,DAMAC HILLS,LSTM,18,5.247966929512889,3.4316211659056983
PC,DAMAC HILLS,LSTM,22,4.689503019182825,1.5712929270051783
PC,DAMAC HILLS,LSTM,26,4.011693688223956,1.7238183923254466
PC,DAMAC HILLS,LSTM,30,4.114227729304915,1.4832647448730167
PC,DAMAC HILLS,LSTM,34,4.642131597638005,1.2778606794494907
PC,TOWN SQUARE,LSTM,2,6.1718621886246,3.4563620011431815
PC,TOWN SQUARE,LSTM,6,7.383120436979432,4.912361897466252
PC,TOWN SQUARE,LSTM,10,7.9152228028188265,4.393628656864984
PC,TOWN SQUARE,LSTM,14,6.27375890523316,4.257574893794369
PC,TOWN SQUARE,LSTM,18,5.705869267614708,5.072443394289115
PC,TOWN SQUARE,LSTM,22,7.35172684614014,4.398648567479594
PC,TOWN SQUARE,LSTM,26,6.806833258583852,4.818093171046639
PC,TOWN SQUARE,LSTM,30,5.98821476668318,4.492249865063722
PC,TOWN SQUARE,LSTM,34,7.566690273323721,4.585054872494036
PC,DownTown Dubai,LSTM,2,5.258511000808803,2.8378939551572007
PC,DownTown Dubai,LSTM,6,5.136518660453597,3.37139271114406
PC,DownTown Dubai,LSTM,10,4.814862589674186,3.446316976953666
PC,DownTown Dubai,LSTM,14,5.147697609922674,2.543543062749645
PC,DownTown Dubai,LSTM,18,4.263152602615093,2.809302094966214
PC,DownTown Dubai,LSTM,22,5.015265236839481,3.1833858582165697
PC,DownTown Dubai,LSTM,26,4.663821475318109,3.3267703458351616
PC,DownTown Dubai,LSTM,30,4.817648044148189,3.337228104377808
PC,DownTown Dubai,LSTM,34,5.0241113818183445,3.6436557495748376
PC,Dubai Creek Harbour,LSTM,2,1.1378278574192666,0.869488098917229
PC,Dubai Creek Harbour,LSTM,6,1.839488874012197,0.8256926925401349
PC,Dubai Creek Harbour,LSTM,10,1.714681850047479,0.8490726707304523
PC,Dubai Creek Harbour,LSTM,14,1.8534531195933248,0.784193605743691
PC,Dubai Creek Harbour,LSTM,18,1.7756142352349613,0.7773872914856291
PC,Dubai Creek Harbour,LSTM,22,1.78017428261711,0.9516472807299076
PC,Dubai Creek Harbour,LSTM,26,1.699273120917164,0.8538673886039886
PC,Dubai Creek Harbour,LSTM,30,1.2300196706843685,1.0343726447865105
PC,Dubai Creek Harbour,LSTM,34,1.3379849464082465,0.9071931069091728
PC,Dubai Marina,LSTM,2,6.530087891849233,4.097687005804162
PC,Dubai Marina,LSTM,6,6.03350182898709,2.9979672886805027
PC,Dubai Marina,LSTM,10,6.453379819807002,4.4234793840160425
PC,Dubai Marina,LSTM,14,6.080235377754678,3.1957139017823013
PC,Dubai Marina,LSTM,18,6.851548803518343,3.0557057248123303
