tag,region,model,horizon,mae_mean,mae_std
PC,Dubai Marina,RF,26,5.371649381568642,3.0521155917794953
PC,Dubai Marina,RF,30,5.507944319821254,3.3699296828467844
PC,Dubai Marina,RF,34,6.1631106276224905,3.0213009457555886
PC,Dubai South Residential District,RF,2,1.0162997286826374,0.5418447191793402
PC,Dubai South Residential District,RF,6,1.4824828851891916,0.9959048567301183
PC,Dubai South Residential District,RF,10,1.8682293384964066,1.2953252922132517
PC,Dubai South Residential District,RF,14,2.337042412885737,2.003216123270564
PC,Dubai South Residential District,RF,18,2.8503628896222493,2.164463529929186
PC,Dubai South Residential District,RF,22,3.1698103944948017,2.0625490279400434
PC,Dubai South Residential District,RF,26,3.0975759927441233,2.0068139499832025
PC,Dubai South Residential District,RF,30,2.98554156479978,2.0908529205377615
PC,Dubai South Residential District,RF,34,3.3500308879234417,2.137915351278824
PC,Dubai Sports City,RF,2,1.1828486608726874,0.6918158135927043
PC,Dubai Sports City,RF,6,1.8364872075709848,1.2745742992851092
PC,Dubai Sports City,RF,10,2.0896648020784423,1.4587609876640188
PC,Dubai Sports City,RF,14,2.4681502596415883,1.830498132224632
PC,Dubai Sports City,RF,18,2.681720614250839,1.8184153217066024
PC,Dubai Sports City,RF,22,2.705589206267346,1.3548598626280315
PC,Dubai Sports City,RF,26,2.6319100205284864,1.1726518671367603
PC,Dubai Sports City,RF,30,2.3387070133538423,0.8116231670355865
PC,Dubai Sports City,RF,34,2.2649576283940345,0.9055745545736312
PC,Al Furjan,RF,2,4.3875109731979185,2.351587610205505
PC,Al Furjan,RF,6,5.609669967112805,2.678920204723137
PC,Al Furjan,RF,10,5.9749671500511505,2.599083558882347
PC,Al Furjan,RF,14,5.65528842867953,2.3569743947358925
PC,Al Furjan,RF,18,5.884499882633865,2.547017915557119
PC,Al Furjan,RF,22,6.018136849732473,3.3680990669216646
PC,Al Furjan,RF,26,5.452340574315519,2.617594692665639
PC,Al Furjan,RF,30,4.6035484366761725,2.688704894518708
PC,Al Furjan,RF,34,5.147935953157182,2.7525690962433194
PC,International City Phase 1,RF,2,1.129708229045191,0.6952343899720315
PC,International City Phase 1,RF,6,1.7113678771096246,1.0171269381063197
PC,International City Phase 1,RF,10,2.198630403277318,1.2180033308579707
PC,International City Phase 1,RF,14,2.502506417622091,1.5887278144404253
PC,International City Phase 1,RF,18,2.529378089193199,1.5243219091225915
PC,International City Phase 1,RF,22,2.5123963673298038,1.506628246413579
PC,International City Phase 1,RF,26,2.7212185907105737,1.353891368120044
PC,International City Phase 1,RF,30,2.67501617971119,1.3266688663412876
PC,International City Phase 1,RF,34,2.9417674209664293,1.4014026446153867
PC,Jumeirah Lakes Towers,RF,2,2.6635723558473243,1.68368220499805
PC,Jumeirah Lakes Towers,RF,6,2.707317636991619,1.1517298100667637
PC,Jumeirah Lakes Towers,RF,10,2.642695916795851,1.0881128549045267
PC,Jumeirah Lakes Towers,RF,14,2.5381057066677353,1.2193416361404121
PC,Jumeirah Lakes Towers,RF,18,2.3476555805449975,1.1113866855873955
PC,Jumeirah Lakes Towers,RF,22,2.369822924033388,1.0389415066450602
PC,Jumeirah Lakes Towers,RF,26,2.808329243395945,1.3550723333835664
PC,Jumeirah Lakes Towers,RF,30,3.1682626027745004,1.9113018539004458
PC,Jumeirah Lakes Towers,RF,34,3.9611969451277522,1.8928708631923343
PC,Jumeirah Village Circle,RF,2,2.0596993529058762,0.3385818654816417
PC,Jumeirah Village Circle,RF,6,2.624860162144189,0.9248596522141922
PC,Jumeirah Village Circle,RF,10,2.708430892021035,1.0314857328359623
PC,Jumeirah Village Circle,RF,14,3.322217656384874,1.171283549111665
PC,Jumeirah Village Circle,RF,18,3.36475707464366,1.079371626512641
PC,Jumeirah Village Circle,RF,22,3.3303259966727756,1.4748385280605016
PC,Jumeirah Village Circle,RF,26,3.4561896273568786,1.9564674005700802
PC,Jumeirah Village Circle,RF,30,3.2997945404992195,2.3299168870332565
PC,Jumeirah Village Circle,RF,34,3.426163891640769,2.774611301867877
PC,Jumeirah Village Triangle,RF,2,4.3952989745305455,2.347623237613177
PC,Jumeirah Village Triangle,RF,6,6.310473954138546,4.2946893444630065
PC,Jumeirah Village Triangle,RF,10,7.524296245905168,4.894267435274427
PC,Jumeirah Village Triangle,RF,14,7.2187126302875795,4.002637228677676
PC,Jumeirah Village Triangle,RF,18,7.445014328577537,4.299437893411266
PC,Jumeirah Village Triangle,RF,22,7.543651255931374,4.322754739966832
PC,Jumeirah Village Triangle,RF,26,7.849401161905831,3.9141293911563
PC,Jumeirah Village Triangle,RF,30,8.76651110178642,4.3905520265655715
PC,Jumeirah Village Triangle,RF,34,9.896401709777365,5.8728818962116485
PC,Jumeriah Beach Residence  - JBR,RF,2,1.7421531169973765,1.4674053175921222
PC,Jumeriah Beach Residence  - JBR,RF,6,2.7989189200167037,1.6317531907293974
PC,Jumeriah Beach Residence  - JBR,RF,10,3.407143510101586,1.7850598208468555
PC,Jumeriah Beach Residence  - JBR,RF,14,3.8245511651886046,1.430630628661817
PC,Jumeriah Beach Residence  - JBR,RF,18,4.161975971689723,1.5575164146679428
PC,Jumeriah Beach Residence  - JBR,RF,22,4.359977350944911,1.724248061723681
PC,Jumeriah Beach Residence  - JBR,RF,26,4.224713517589562,2.024940243295277
PC,Jumeriah Beach Residence  - JBR,RF,30,4.176138433621872,2.5826501154251496
PC,Jumeriah Beach Residence  - JBR,RF,34,4.891268701925728,3.111514808875715
PC,Mudon,RF,2,1.2093293352822418,1.1582680802404128
PC,Mudon,RF,6,1.4796494348709073,0.979575834935201
PC,Mudon,RF,10,1.7699064031367857,1.012452101253028
PC,Mudon,RF,14,1.9443771401458647,1.3033772987519734
PC,Mudon,RF,18,1.9735238088074987,1.271063814244839
PC,Mudon,RF,22,2.483951850323971,1.4383572665148945
PC,Mudon,RF,26,3.0345041996510216,1.8347321462584893
PC,Mudon,RF,30,3.4430206631865645,2.432539380381023
PC,Mudon,RF,34,3.8461296263241747,2.8045114933463022
PC,Palm Jumeirah,RF,2,3.563523644958228,1.92924226547306
PC,Palm Jumeirah,RF,6,5.486317346892576,2.674497598617893
PC,Palm Jumeirah,RF,10,5.799829021171962,3.3975696892976477
PC,Palm Jumeirah,RF,14,6.292575888224791,3.256262441192473
PC,Palm Jumeirah,RF,18,6.216835167595109,3.498389657315307
PC,Palm Jumeirah,RF,22,6.514519259631969,3.236275898739858
PC,Palm Jumeirah,RF,26,6.897158935735456,3.3800248052306774
PC,Palm Jumeirah,RF,30,6.590383013391412,3.3057889721909532
PC,Palm Jumeirah,RF,34,7.709514864731544,3.1250515375994414
PC,Silicon Oasis,RF,2,0.7199798355799262,0.5047193596769126
PC,Silicon Oasis,RF,6,0.9108054883877802,0.7017751077089632
PC,Silicon Oasis,RF,10,1.0151051911459081,0.727391526789254
PC,Silicon Oasis,RF,14,1.213316103610421,0.6661575269579355
PC,Silicon Oasis,RF,18,1.3572497781230215,0.5867226877050101
PC,Silicon Oasis,RF,22,1.404052260264383,0.5026129816891111
PC,Silicon Oasis,RF,26,1.3501580518806162,0.6055831723479256
PC,Silicon Oasis,RF,30,1.3720623788237227,0.9183695999398214
PC,Silicon Oasis,RF,34,1.6596195659312445,1.1629078497239485
PC,The Greens,RF,2,1.2678902709159225,1.1386142243935702
PC,The Greens,RF,6,1.6451563343225561,1.5634339192873417
PC,The Greens,RF,10,1.8757681705607676,1.8985896538556726
PC,The Greens,RF,14,1.967384811151798,1.937088344322117
PC,The Greens,RF,18,2.3486217839335497,2.185232294023984
PC,The Greens,RF,22,2.3643900797972472,2.104067655696961
PC,The Greens,RF,26,2.071398480758062,1.865594470708978
PC,The Greens,RF,30,2.0206595314118037,1.828321353610968
PC,The Greens,RF,34,2.0769961980629907,1.7343482042885945
