region,model,horizon,best_mae_mean
Palm Jumeirah,Naive-12Mean,6,4.840819597062643
Palm Jumeirah,Naive-12Mean,10,5.143715615673169
Palm Jumeirah,Naive-12Mean,14,5.245064879179979
Palm Jumeirah,Naive-12Mean,18,5.397002541330581
Palm Jumeirah,Naive-12Mean,22,5.695892000743177
Palm Jumeirah,Naive-12Mean,26,5.973586013317209
Palm Jumeirah,Naive-12Mean,30,6.095213295607223
Palm Jumeirah,Naive-12Mean,34,7.134115118035867
Silicon Oasis,Naive-12Mean,2,0.7229210824140014
Silicon Oasis,Naive-12Mean,6,0.8342042129903622
Silicon Oasis,Naive-12Mean,10,0.8851996817084459
Silicon Oasis,Naive-12Mean,14,0.933594151161002
Silicon Oasis,Naive-12Mean,18,1.065761330420335
Silicon Oasis,Naive-12Mean,22,1.1926879032844828
Silicon Oasis,Naive-12Mean,26,1.2251654236284528
Silicon Oasis,Naive-12Mean,30,1.2628464137657809
Silicon Oasis,Naive-12Mean,34,1.378383031295388
The Greens,Naive-12Mean,2,0.8586403095027174
The Greens,Naive-12Mean,6,1.1861190463101279
The Greens,Naive-12Mean,10,1.4796488680021747
The Greens,Naive-12Mean,14,1.7631221099575771
The Greens,Naive-12Mean,18,2.023926634793536
The Greens,Naive-12Mean,22,2.2968077382362155
The Greens,Naive-12Mean,26,2.590690034654821
The Greens,Naive-12Mean,30,2.937584947745301
The Greens,Naive-12Mean,34,3.3558834699226234
