region,model,horizon,best_mae_mean
Silicon Oasis,KNN,34,0.9531495279847813
The Greens,KNN,2,1.4996611596314693
The Greens,KNN,6,1.5548553538519019
The Greens,KNN,10,1.4556158905507781
The Greens,KNN,14,1.4959346554016824
The Greens,KNN,18,1.655285287884619
The Greens,KNN,22,1.741234066076404
The Greens,KNN,26,1.649940489311953
The Greens,KNN,30,1.6069930860829384
The Greens,KNN,34,1.7397018208148753
